Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Sector
2017-01-03 00:00:00-05:00,164.33999633789062,164.7100067138672,162.44000244140625,163.8300018310547,4091000,0.0,0.0,BRK-B,Insurance
2017-01-04 00:00:00-05:00,164.4499969482422,164.57000732421875,163.0,164.0800018310547,3568900,0.0,0.0,BRK-B,Insurance
2017-01-05 00:00:00-05:00,164.05999755859375,164.13999938964844,162.17999267578125,163.3000030517578,2982500,0.0,0.0,BRK-B,Insurance
2017-01-06 00:00:00-05:00,163.44000244140625,163.8000030517578,162.63999938964844,163.41000366210938,2697000,0.0,0.0,BRK-B,Insurance
2017-01-09 00:00:00-05:00,163.0399932861328,163.25,162.02000427246094,162.02000427246094,3564700,0.0,0.0,BRK-B,Insurance
2017-01-10 00:00:00-05:00,162.0,162.74000549316406,161.41000366210938,161.47000122070312,2671300,0.0,0.0,BRK-B,Insurance
2017-01-11 00:00:00-05:00,161.47000122070312,162.4499969482422,161.02999877929688,162.22999572753906,3305900,0.0,0.0,BRK-B,Insurance
2017-01-12 00:00:00-05:00,162.0,162.14999389648438,160.3300018310547,161.41000366210938,3229400,0.0,0.0,BRK-B,Insurance
2017-01-13 00:00:00-05:00,161.80999755859375,163.1300048828125,161.50999450683594,161.89999389648438,3081600,0.0,0.0,BRK-B,Insurance
2017-01-17 00:00:00-05:00,161.9600067138672,162.0,159.3000030517578,159.63999938964844,4712800,0.0,0.0,BRK-B,Insurance
2017-01-18 00:00:00-05:00,160.0399932861328,160.86000061035156,159.42999267578125,160.49000549316406,3074700,0.0,0.0,BRK-B,Insurance
2017-01-19 00:00:00-05:00,160.82000732421875,161.1199951171875,159.11000061035156,159.41000366210938,3172800,0.0,0.0,BRK-B,Insurance
2017-01-20 00:00:00-05:00,160.2100067138672,160.77999877929688,159.5800018310547,160.2100067138672,4176100,0.0,0.0,BRK-B,Insurance
2017-01-23 00:00:00-05:00,160.19000244140625,160.27999877929688,158.61000061035156,158.80999755859375,3434300,0.0,0.0,BRK-B,Insurance
2017-01-24 00:00:00-05:00,159.25999450683594,161.08999633789062,158.77000427246094,160.72000122070312,4012500,0.0,0.0,BRK-B,Insurance
2017-01-25 00:00:00-05:00,162.0,164.6300048828125,161.38999938964844,164.25,4500000,0.0,0.0,BRK-B,Insurance
2017-01-26 00:00:00-05:00,164.8800048828125,165.02999877929688,164.0800018310547,164.9199981689453,3132400,0.0,0.0,BRK-B,Insurance
2017-01-27 00:00:00-05:00,164.92999267578125,165.3000030517578,163.4600067138672,164.39999389648438,2520300,0.0,0.0,BRK-B,Insurance
2017-01-30 00:00:00-05:00,164.1999969482422,164.91000366210938,163.22000122070312,164.8000030517578,3194400,0.0,0.0,BRK-B,Insurance
2017-01-31 00:00:00-05:00,164.63999938964844,165.05999755859375,163.0800018310547,164.13999938964844,3099600,0.0,0.0,BRK-B,Insurance
2017-02-01 00:00:00-05:00,164.75,165.1999969482422,163.3000030517578,163.61000061035156,2906900,0.0,0.0,BRK-B,Insurance
2017-02-02 00:00:00-05:00,163.30999755859375,163.30999755859375,162.27000427246094,163.0,3041200,0.0,0.0,BRK-B,Insurance
2017-02-03 00:00:00-05:00,164.0,164.19000244140625,162.52000427246094,163.94000244140625,3352700,0.0,0.0,BRK-B,Insurance
2017-02-06 00:00:00-05:00,163.8800048828125,163.92999267578125,163.0399932861328,163.4199981689453,2798300,0.0,0.0,BRK-B,Insurance
2017-02-07 00:00:00-05:00,163.6199951171875,163.85000610351562,162.5800018310547,162.92999267578125,2446800,0.0,0.0,BRK-B,Insurance
2017-02-08 00:00:00-05:00,162.89999389648438,163.1300048828125,162.14999389648438,162.8699951171875,2247100,0.0,0.0,BRK-B,Insurance
2017-02-09 00:00:00-05:00,162.8699951171875,164.4199981689453,162.82000732421875,164.0399932861328,2878300,0.0,0.0,BRK-B,Insurance
2017-02-10 00:00:00-05:00,164.58999633789062,164.67999267578125,163.60000610351562,164.00999450683594,3066200,0.0,0.0,BRK-B,Insurance
2017-02-13 00:00:00-05:00,164.7100067138672,166.24000549316406,164.44000244140625,165.85000610351562,2958400,0.0,0.0,BRK-B,Insurance
2017-02-14 00:00:00-05:00,165.85000610351562,167.0,165.1699981689453,166.9499969482422,3057900,0.0,0.0,BRK-B,Insurance
2017-02-15 00:00:00-05:00,167.2100067138672,167.33999633789062,166.1199951171875,167.27999877929688,4349600,0.0,0.0,BRK-B,Insurance
2017-02-16 00:00:00-05:00,167.27999877929688,167.8000030517578,166.10000610351562,167.74000549316406,3152200,0.0,0.0,BRK-B,Insurance
2017-02-17 00:00:00-05:00,167.55999755859375,168.6999969482422,166.7100067138672,168.57000732421875,3716900,0.0,0.0,BRK-B,Insurance
2017-02-21 00:00:00-05:00,168.9199981689453,169.64999389648438,168.47000122070312,168.9199981689453,4416900,0.0,0.0,BRK-B,Insurance
2017-02-22 00:00:00-05:00,168.9199981689453,169.6999969482422,168.3300018310547,169.61000061035156,3299400,0.0,0.0,BRK-B,Insurance
2017-02-23 00:00:00-05:00,169.9600067138672,170.16000366210938,169.11000061035156,170.14999389648438,3377100,0.0,0.0,BRK-B,Insurance
2017-02-24 00:00:00-05:00,169.39999389648438,170.27999877929688,169.22000122070312,170.22000122070312,4023400,0.0,0.0,BRK-B,Insurance
2017-02-27 00:00:00-05:00,170.89999389648438,171.1999969482422,170.32000732421875,170.6300048828125,3738600,0.0,0.0,BRK-B,Insurance
2017-02-28 00:00:00-05:00,170.89999389648438,172.1999969482422,170.50999450683594,171.4199981689453,6464500,0.0,0.0,BRK-B,Insurance
2017-03-01 00:00:00-05:00,173.6999969482422,177.41000366210938,173.6999969482422,177.27999877929688,7137600,0.0,0.0,BRK-B,Insurance
2017-03-02 00:00:00-05:00,177.86000061035156,177.86000061035156,175.47999572753906,175.88999938964844,4154800,0.0,0.0,BRK-B,Insurance
2017-03-03 00:00:00-05:00,175.97000122070312,176.4600067138672,175.0399932861328,175.67999267578125,3552000,0.0,0.0,BRK-B,Insurance
2017-03-06 00:00:00-05:00,175.44000244140625,175.8800048828125,174.50999450683594,175.39999389648438,3379100,0.0,0.0,BRK-B,Insurance
2017-03-07 00:00:00-05:00,175.5800018310547,175.75999450683594,174.89999389648438,175.3000030517578,2645400,0.0,0.0,BRK-B,Insurance
2017-03-08 00:00:00-05:00,175.88999938964844,176.0,174.8000030517578,174.97000122070312,3334400,0.0,0.0,BRK-B,Insurance
2017-03-09 00:00:00-05:00,175.6999969482422,175.85000610351562,174.82000732421875,175.3699951171875,2955800,0.0,0.0,BRK-B,Insurance
2017-03-10 00:00:00-05:00,176.0,176.13999938964844,174.4499969482422,174.97999572753906,3789700,0.0,0.0,BRK-B,Insurance
2017-03-13 00:00:00-04:00,175.2899932861328,175.60000610351562,174.69000244140625,175.38999938964844,3333500,0.0,0.0,BRK-B,Insurance
2017-03-14 00:00:00-04:00,175.22000122070312,175.42999267578125,174.22999572753906,174.72999572753906,2972300,0.0,0.0,BRK-B,Insurance
2017-03-15 00:00:00-04:00,174.97999572753906,175.0800018310547,173.77000427246094,174.6699981689453,3928500,0.0,0.0,BRK-B,Insurance
2017-03-16 00:00:00-04:00,175.14999389648438,175.42999267578125,173.6999969482422,174.0800018310547,3119600,0.0,0.0,BRK-B,Insurance
2017-03-17 00:00:00-04:00,173.88999938964844,173.88999938964844,172.32000732421875,172.82000732421875,6710700,0.0,0.0,BRK-B,Insurance
2017-03-20 00:00:00-04:00,172.3000030517578,172.8699951171875,171.60000610351562,172.07000732421875,3340700,0.0,0.0,BRK-B,Insurance
2017-03-21 00:00:00-04:00,172.16000366210938,172.44000244140625,169.02999877929688,169.47000122070312,4973900,0.0,0.0,BRK-B,Insurance
2017-03-22 00:00:00-04:00,169.27000427246094,170.0399932861328,168.02000427246094,169.3000030517578,3257000,0.0,0.0,BRK-B,Insurance
2017-03-23 00:00:00-04:00,169.66000366210938,171.36000061035156,169.2100067138672,169.88999938964844,3142900,0.0,0.0,BRK-B,Insurance
2017-03-24 00:00:00-04:00,170.4499969482422,170.4499969482422,168.02000427246094,168.66000366210938,4131900,0.0,0.0,BRK-B,Insurance
2017-03-27 00:00:00-04:00,166.88999938964844,167.50999450683594,165.8000030517578,167.44000244140625,4884700,0.0,0.0,BRK-B,Insurance
2017-03-28 00:00:00-04:00,167.27999877929688,168.61000061035156,166.36000061035156,168.30999755859375,4598000,0.0,0.0,BRK-B,Insurance
2017-03-29 00:00:00-04:00,168.0,168.3000030517578,166.44000244140625,166.58999633789062,4776400,0.0,0.0,BRK-B,Insurance
